,0,85,86,87,88,89,90,1020,1023,1030,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1703,1704,1705,1706,1707,1708,1709,1710,1711,1886,1887,1888,1889
Characteristic,Neighbourhood Number,  2 persons,  3 persons,  4 persons,  5 or more persons,  Couples without children,Total number of census families in private households,    Total - Income statistics in 2015 for one-person private households - 100% data,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,    Total - Income statistics in 2015 for one-person private households - 25% sample data,"  $5,000 to $9,999","  $10,000 to $14,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $69,999","  $70,000 to $79,999","  $80,000 to $89,999","  $90,000 to $99,999","  $100,000 and over","    $200,000 and over",Total - Household after-tax income groups in 2015 for private households - 100% data,"  No certificate, diploma or degree-NO EDU",  Secondary (high) school diploma or equivalency certificate- HIGH SCHOOL EDU,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification- TRADE CERTIF,      Certificate of Apprenticeship or Certificate of Qualification,"    College, CEGEP or other non-university certificate or diploma",    University certificate or diploma below bachelor level,"    University certificate, diploma or degree at bachelor level or above",      Bachelor's degree,      University certificate or diploma above bachelor level,    Employed,    Unemployed,Participation rate,Employment rate
Beechborough-Greenbrook,112.0,830.0,490.0,300.0,135.0,420.0,1750.0,865.0,1790.0,860.0,60.0,160.0,185.0,170.0,190.0,170.0,155.0,125.0,205.0,200.0,160.0,110.0,105.0,430.0,60.0,2650.0,1605.0,1515.0,195.0,280.0,890.0,160.0,610.0,445.0,75.0,2765.0,355.0,59.5,52.7
Bendale,127.0,3610.0,1915.0,1460.0,885.0,2600.0,7875.0,2800.0,7960.0,2815.0,220.0,255.0,370.0,475.0,465.0,520.0,495.0,530.0,935.0,845.0,765.0,615.0,575.0,2625.0,275.0,10765.0,4750.0,7605.0,590.0,425.0,4255.0,695.0,6295.0,4550.0,425.0,13020.0,1255.0,58.0,52.9
Birchcliffe-Cliffside,122.0,2940.0,1430.0,1330.0,365.0,2080.0,6070.0,2960.0,6230.0,2965.0,290.0,320.0,405.0,330.0,315.0,340.0,330.0,310.0,650.0,595.0,525.0,475.0,465.0,3345.0,930.0,9190.0,2930.0,5245.0,435.0,470.0,3610.0,485.0,5170.0,3470.0,365.0,10945.0,1055.0,65.4,59.6
Black Creek,24.0,2220.0,1455.0,1160.0,810.0,1065.0,5655.0,1670.0,5670.0,1660.0,170.0,315.0,440.0,480.0,485.0,445.0,460.0,430.0,750.0,565.0,475.0,360.0,305.0,900.0,40.0,7320.0,6420.0,5195.0,535.0,545.0,2360.0,340.0,1565.0,1235.0,90.0,8115.0,1180.0,54.8,47.8
Blake-Jones,69.0,1005.0,505.0,405.0,180.0,695.0,2095.0,965.0,2160.0,960.0,90.0,145.0,135.0,140.0,130.0,115.0,115.0,100.0,165.0,165.0,140.0,120.0,115.0,1105.0,320.0,3125.0,1175.0,1345.0,150.0,135.0,920.0,125.0,2435.0,1550.0,160.0,3740.0,345.0,65.0,59.6
Briar Hill-Belgravia,108.0,1840.0,1095.0,770.0,220.0,1195.0,3905.0,1725.0,4020.0,1725.0,135.0,190.0,280.0,265.0,250.0,295.0,285.0,240.0,470.0,430.0,415.0,370.0,315.0,1375.0,165.0,5745.0,2545.0,3080.0,415.0,270.0,2170.0,455.0,3405.0,2360.0,300.0,7635.0,725.0,67.6,61.8
Bridle Path-Sunnybrook-York Mills,41.0,1085.0,565.0,620.0,365.0,940.0,2640.0,630.0,2615.0,605.0,25.0,35.0,30.0,45.0,40.0,45.0,30.0,30.0,100.0,95.0,75.0,95.0,105.0,2370.0,1705.0,3240.0,615.0,1500.0,80.0,30.0,510.0,220.0,4795.0,2585.0,405.0,4155.0,360.0,58.3,53.6
Broadview North,57.0,1625.0,710.0,475.0,130.0,1190.0,2940.0,2445.0,3220.0,2435.0,110.0,200.0,290.0,345.0,335.0,305.0,310.0,270.0,540.0,400.0,320.0,280.0,225.0,1230.0,320.0,5665.0,1665.0,2295.0,310.0,175.0,1705.0,225.0,3510.0,2215.0,240.0,6035.0,540.0,66.5,61.1
Brookhaven-Amesbury,30.0,2060.0,1380.0,1015.0,455.0,1095.0,4915.0,1540.0,4935.0,1540.0,125.0,255.0,385.0,360.0,385.0,425.0,365.0,325.0,595.0,560.0,440.0,345.0,275.0,1225.0,150.0,6480.0,4270.0,4150.0,640.0,410.0,2555.0,410.0,1920.0,1435.0,195.0,8195.0,915.0,63.5,57.1
Cabbagetown-South St. James Town,71.0,1870.0,420.0,225.0,70.0,1600.0,2590.0,3320.0,3120.0,3315.0,160.0,330.0,330.0,265.0,245.0,240.0,235.0,255.0,425.0,420.0,350.0,295.0,270.0,1925.0,700.0,6440.0,770.0,2065.0,200.0,130.0,1600.0,325.0,5105.0,2925.0,380.0,6695.0,585.0,71.3,65.6
Caledonia-Fairbank,109.0,1235.0,810.0,605.0,180.0,815.0,2815.0,825.0,2850.0,830.0,65.0,100.0,175.0,155.0,190.0,180.0,170.0,180.0,295.0,255.0,250.0,210.0,235.0,1040.0,80.0,3680.0,2925.0,2175.0,265.0,320.0,1385.0,190.0,1160.0,850.0,95.0,5145.0,400.0,65.9,61.1
Casa Loma,96.0,1780.0,490.0,420.0,190.0,1565.0,2880.0,2270.0,3140.0,2230.0,75.0,135.0,160.0,185.0,170.0,170.0,140.0,160.0,280.0,285.0,285.0,240.0,260.0,2535.0,1325.0,5405.0,490.0,1690.0,130.0,90.0,1165.0,170.0,5920.0,3315.0,365.0,6055.0,425.0,67.2,62.8
Centennial Scarborough,133.0,1630.0,975.0,1055.0,360.0,1305.0,4020.0,505.0,3875.0,505.0,25.0,35.0,45.0,75.0,85.0,75.0,95.0,90.0,210.0,230.0,235.0,295.0,270.0,2545.0,715.0,4375.0,1295.0,2820.0,235.0,210.0,2235.0,350.0,4055.0,2925.0,200.0,6635.0,545.0,64.2,59.3
Church-Yonge Corridor,75.0,4680.0,850.0,280.0,90.0,4130.0,5905.0,11420.0,8265.0,11415.0,755.0,1070.0,875.0,720.0,765.0,785.0,760.0,755.0,1445.0,1310.0,1255.0,1005.0,925.0,4840.0,1130.0,19690.0,1220.0,5510.0,480.0,285.0,3800.0,850.0,16930.0,10405.0,1030.0,19990.0,1865.0,75.1,68.7
Clairlea-Birchmount,120.0,2915.0,2005.0,1780.0,650.0,1935.0,7350.0,1900.0,7350.0,1895.0,110.0,260.0,390.0,420.0,420.0,385.0,445.0,420.0,735.0,700.0,610.0,575.0,555.0,2785.0,340.0,9240.0,4215.0,6165.0,570.0,510.0,3930.0,570.0,5755.0,3825.0,305.0,12960.0,1240.0,65.3,59.6
Clanton Park,33.0,1960.0,1070.0,870.0,445.0,1430.0,4350.0,2040.0,4515.0,2025.0,100.0,165.0,260.0,270.0,255.0,250.0,285.0,255.0,485.0,480.0,410.0,385.0,310.0,2135.0,690.0,6555.0,1735.0,3245.0,425.0,210.0,2310.0,445.0,5290.0,3495.0,390.0,8710.0,565.0,67.9,63.8
Cliffcrest,123.0,1815.0,1110.0,1080.0,400.0,1310.0,4410.0,1495.0,4405.0,1495.0,85.0,145.0,285.0,245.0,200.0,215.0,255.0,220.0,410.0,350.0,350.0,315.0,285.0,2135.0,495.0,5905.0,2165.0,3925.0,280.0,315.0,2645.0,275.0,3640.0,2455.0,235.0,7410.0,795.0,61.9,55.9
Corso Italia-Davenport,92.0,1950.0,1040.0,775.0,230.0,1370.0,3990.0,1285.0,4205.0,1295.0,85.0,125.0,250.0,205.0,260.0,230.0,260.0,215.0,410.0,370.0,320.0,300.0,310.0,1840.0,325.0,5485.0,3390.0,2875.0,385.0,340.0,1675.0,240.0,3285.0,2135.0,165.0,7710.0,600.0,68.1,63.2
Danforth,66.0,1105.0,665.0,610.0,175.0,865.0,2560.0,1190.0,2730.0,1185.0,65.0,135.0,190.0,135.0,140.0,130.0,125.0,120.0,220.0,210.0,195.0,155.0,165.0,1570.0,520.0,3925.0,1440.0,1670.0,140.0,105.0,1145.0,160.0,3295.0,2090.0,240.0,5105.0,340.0,68.5,64.3
Danforth East York,59.0,2240.0,1260.0,1085.0,270.0,1685.0,4850.0,2020.0,5015.0,2010.0,105.0,165.0,310.0,260.0,275.0,260.0,255.0,255.0,445.0,385.0,345.0,330.0,375.0,2820.0,685.0,7025.0,2500.0,3045.0,350.0,205.0,2370.0,345.0,5255.0,3350.0,315.0,8770.0,650.0,67.0,62.4
Don Valley Village,47.0,3300.0,2205.0,1620.0,495.0,2345.0,7630.0,2115.0,7845.0,2115.0,175.0,255.0,415.0,465.0,500.0,460.0,415.0,435.0,835.0,755.0,710.0,595.0,495.0,2755.0,530.0,9960.0,2505.0,5220.0,500.0,240.0,3635.0,970.0,9675.0,5995.0,560.0,12540.0,1330.0,61.0,55.1
Dorset Park,126.0,2755.0,1860.0,1450.0,665.0,1750.0,6730.0,2120.0,6660.0,2105.0,140.0,250.0,390.0,470.0,470.0,470.0,525.0,465.0,855.0,730.0,625.0,545.0,455.0,1830.0,145.0,8780.0,3975.0,5985.0,545.0,480.0,3570.0,635.0,4945.0,3485.0,290.0,11495.0,1230.0,63.3,57.1
Dovercourt-Wallace Emerson-Junction,93.0,4945.0,2390.0,1620.0,485.0,3720.0,9465.0,4665.0,10655.0,4670.0,330.0,605.0,715.0,660.0,640.0,695.0,650.0,625.0,1150.0,1035.0,935.0,905.0,815.0,4435.0,710.0,15320.0,7105.0,7335.0,755.0,555.0,4590.0,655.0,10775.0,7085.0,580.0,20710.0,1610.0,70.3,65.2
Downsview-Roding-CFB,26.0,4375.0,2520.0,2005.0,790.0,2705.0,9690.0,3410.0,9695.0,3405.0,180.0,400.0,680.0,655.0,755.0,775.0,710.0,685.0,1200.0,1025.0,855.0,730.0,640.0,3015.0,355.0,13100.0,8590.0,8365.0,1065.0,965.0,5015.0,810.0,4485.0,3350.0,360.0,16630.0,1420.0,61.7,56.8
Dufferin Grove,83.0,1725.0,615.0,470.0,130.0,1375.0,2935.0,2015.0,3425.0,2010.0,95.0,190.0,260.0,240.0,305.0,290.0,265.0,245.0,415.0,410.0,355.0,285.0,245.0,1385.0,265.0,5440.0,2150.0,2125.0,195.0,185.0,1590.0,210.0,3965.0,2590.0,235.0,6995.0,565.0,72.4,67.1
East End-Danforth,62.0,2645.0,1460.0,1250.0,355.0,1855.0,5705.0,3175.0,6005.0,3195.0,270.0,455.0,445.0,375.0,375.0,330.0,320.0,295.0,530.0,500.0,415.0,400.0,390.0,3340.0,950.0,9190.0,2290.0,3915.0,365.0,285.0,3155.0,425.0,6860.0,4430.0,440.0,11125.0,990.0,70.1,64.3
Edenbridge-Humber Valley,9.0,2120.0,1015.0,890.0,355.0,1565.0,4380.0,1785.0,4460.0,1795.0,50.0,100.0,220.0,200.0,210.0,235.0,225.0,270.0,465.0,415.0,400.0,345.0,280.0,2575.0,1290.0,6260.0,1725.0,3175.0,335.0,280.0,2055.0,325.0,5190.0,3155.0,415.0,7915.0,510.0,64.4,60.5
Eglinton East,138.0,2455.0,1630.0,1365.0,665.0,1345.0,6105.0,1785.0,6120.0,1780.0,130.0,265.0,405.0,500.0,510.0,485.0,475.0,480.0,760.0,650.0,550.0,460.0,335.0,1445.0,135.0,7905.0,3925.0,5645.0,605.0,430.0,3305.0,530.0,3650.0,2575.0,260.0,9540.0,1155.0,59.2,52.8
Elms-Old Rexdale,5.0,1040.0,700.0,510.0,325.0,610.0,2575.0,635.0,2585.0,630.0,50.0,80.0,150.0,160.0,170.0,180.0,180.0,175.0,320.0,265.0,240.0,190.0,165.0,730.0,60.0,3215.0,1870.0,2620.0,255.0,220.0,1380.0,170.0,1130.0,820.0,80.0,4175.0,465.0,60.7,54.6
Englemount-Lawrence,32.0,2150.0,1215.0,960.0,935.0,1370.0,5255.0,2825.0,5425.0,2830.0,155.0,290.0,485.0,395.0,390.0,380.0,315.0,335.0,735.0,565.0,500.0,435.0,315.0,2155.0,755.0,8245.0,2675.0,4340.0,505.0,330.0,2635.0,725.0,5880.0,3730.0,525.0,9805.0,955.0,63.0,57.4
Eringate-Centennial-West Deane,11.0,2380.0,1420.0,1265.0,405.0,1740.0,5450.0,1430.0,5435.0,1440.0,25.0,70.0,220.0,205.0,250.0,215.0,255.0,235.0,435.0,475.0,465.0,445.0,390.0,2995.0,590.0,6860.0,2435.0,4225.0,470.0,380.0,3035.0,425.0,4915.0,3360.0,315.0,9355.0,750.0,63.6,58.9
Etobicoke West Mall,13.0,1460.0,855.0,665.0,230.0,950.0,3215.0,1285.0,3295.0,1290.0,65.0,125.0,180.0,195.0,210.0,205.0,235.0,210.0,475.0,375.0,325.0,275.0,265.0,1200.0,150.0,4585.0,1730.0,2715.0,290.0,210.0,1765.0,365.0,2705.0,1810.0,220.0,5915.0,505.0,65.7,60.5
Flemingdon Park,44.0,2205.0,1350.0,1260.0,905.0,1410.0,5720.0,1970.0,5865.0,1970.0,145.0,250.0,440.0,500.0,485.0,480.0,505.0,415.0,745.0,665.0,525.0,435.0,350.0,1130.0,105.0,7830.0,3825.0,4850.0,390.0,260.0,2740.0,550.0,4910.0,3265.0,280.0,8865.0,1050.0,56.5,50.6
Forest Hill North,102.0,1500.0,735.0,740.0,320.0,1110.0,3295.0,1925.0,3520.0,1920.0,95.0,155.0,240.0,220.0,215.0,210.0,230.0,205.0,390.0,345.0,310.0,280.0,245.0,1925.0,1025.0,5440.0,880.0,2190.0,215.0,135.0,1440.0,435.0,5320.0,3015.0,455.0,6960.0,560.0,70.9,65.6
Forest Hill South,101.0,1525.0,450.0,525.0,290.0,1330.0,2800.0,2005.0,2950.0,1995.0,65.0,110.0,165.0,165.0,150.0,145.0,145.0,175.0,315.0,255.0,220.0,210.0,190.0,2365.0,1465.0,4950.0,690.0,1605.0,90.0,55.0,980.0,290.0,5575.0,2900.0,415.0,5765.0,340.0,65.8,62.1
Glenfield-Jane Heights,25.0,3375.0,2230.0,1755.0,905.0,1700.0,8245.0,1950.0,7970.0,1970.0,155.0,280.0,655.0,590.0,640.0,655.0,535.0,560.0,925.0,720.0,630.0,550.0,470.0,1835.0,140.0,9930.0,9560.0,7190.0,790.0,600.0,3650.0,500.0,2110.0,1610.0,160.0,11895.0,1550.0,55.0,48.7
Greenwood-Coxwell,65.0,1850.0,985.0,795.0,245.0,1340.0,3875.0,1950.0,4090.0,1960.0,140.0,270.0,320.0,230.0,245.0,215.0,205.0,205.0,340.0,330.0,310.0,325.0,305.0,2115.0,470.0,6055.0,1960.0,2710.0,235.0,175.0,2005.0,245.0,4590.0,3045.0,290.0,7660.0,595.0,69.1,64.2
Guildwood,140.0,1460.0,655.0,560.0,175.0,1115.0,2850.0,1120.0,2870.0,1115.0,20.0,40.0,140.0,110.0,130.0,150.0,130.0,160.0,295.0,255.0,265.0,255.0,240.0,1715.0,410.0,3995.0,1080.0,2225.0,200.0,325.0,1590.0,235.0,2715.0,1785.0,245.0,4575.0,395.0,59.5,54.7
Henry Farm,53.0,1900.0,1140.0,800.0,310.0,1415.0,4165.0,1790.0,4570.0,1790.0,170.0,210.0,280.0,290.0,265.0,280.0,280.0,285.0,545.0,465.0,470.0,415.0,340.0,1320.0,230.0,6360.0,1210.0,2765.0,260.0,170.0,1920.0,510.0,6370.0,3985.0,350.0,7720.0,890.0,65.2,58.5
High Park North,88.0,3295.0,1210.0,1005.0,220.0,2665.0,5725.0,4750.0,6280.0,4730.0,270.0,420.0,460.0,425.0,410.0,420.0,420.0,420.0,800.0,725.0,660.0,630.0,525.0,3565.0,1095.0,11025.0,1535.0,3250.0,375.0,220.0,2980.0,510.0,10125.0,5975.0,610.0,12740.0,970.0,72.2,67.1
High Park-Swansea,87.0,3300.0,1360.0,1265.0,360.0,2710.0,6280.0,4195.0,6670.0,4200.0,155.0,230.0,430.0,350.0,340.0,345.0,395.0,355.0,730.0,715.0,630.0,590.0,560.0,4485.0,1735.0,10870.0,1575.0,3385.0,315.0,260.0,3100.0,515.0,10665.0,6390.0,690.0,13650.0,865.0,73.3,68.9
Highland Creek,134.0,1335.0,920.0,845.0,400.0,1040.0,3510.0,420.0,3275.0,425.0,25.0,45.0,70.0,80.0,90.0,120.0,80.0,115.0,230.0,230.0,200.0,195.0,210.0,1890.0,440.0,3700.0,1625.0,3200.0,345.0,230.0,2085.0,400.0,3055.0,2150.0,205.0,6095.0,565.0,60.9,55.8
Hillcrest Village,48.0,2295.0,1400.0,1010.0,250.0,1665.0,4955.0,1480.0,4925.0,1485.0,115.0,170.0,235.0,325.0,245.0,245.0,195.0,165.0,375.0,350.0,405.0,310.0,305.0,2215.0,480.0,6400.0,1865.0,3400.0,210.0,165.0,2155.0,575.0,6445.0,3980.0,455.0,7270.0,660.0,53.6,49.1
Humber Heights-Westmount,8.0,1430.0,710.0,585.0,195.0,1000.0,2920.0,1210.0,2925.0,1200.0,35.0,75.0,180.0,175.0,195.0,195.0,170.0,190.0,375.0,305.0,230.0,265.0,195.0,1340.0,320.0,4135.0,1555.0,2305.0,305.0,210.0,1645.0,300.0,2340.0,1515.0,205.0,4745.0,380.0,59.1,54.8
Humber Summit,21.0,1390.0,810.0,820.0,435.0,940.0,3465.0,635.0,3260.0,635.0,50.0,60.0,200.0,190.0,215.0,255.0,240.0,220.0,330.0,325.0,270.0,255.0,185.0,970.0,115.0,3895.0,3495.0,2990.0,300.0,335.0,1505.0,195.0,1450.0,1005.0,85.0,5200.0,555.0,56.1,50.7
