,Unnamed: 0,0,85,86,87,88,1886,1887,"Under $50,000","$50,000 - $100,000","$100,000 and over","$200,000 and over",Post Secondary Degree,Bachelor level or above,NO EDU,Secondary school or equivalent,Trades certificate
0,Characteristic,Neighbourhood Number,  2 persons,  3 persons,  4 persons,  5 or more persons,    Employed,    Unemployed,"Under $50,000","$50,000 - $100,000","$100,000 and over","$200,000 and over",Post Secondary Degree,Bachelor level or above,"  No certificate, diploma or degree-NO EDU",  Secondary (high) school diploma or equivalency certificate- HIGH SCHOOL EDU,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification- TRADE CERTIF
120,Thorncliffe Park,55.0,1665.0,1060.0,1120.0,1205.0,7415.0,1070.0,3585.0,2345.0,925.0,100.0,2710.0,8465.0,3195.0,4015.0,265.0
121,Trinity-Bellwoods,81.0,2315.0,905.0,645.0,170.0,9440.0,610.0,2285.0,2045.0,2445.0,730.0,2155.0,9625.0,3115.0,3275.0,190.0
122,University,79.0,895.0,290.0,175.0,40.0,4035.0,365.0,1265.0,850.0,1010.0,340.0,830.0,5675.0,520.0,1190.0,105.0
123,Victoria Village,43.0,2220.0,1165.0,875.0,370.0,7745.0,870.0,3225.0,2375.0,1445.0,240.0,3615.0,6645.0,2930.0,3780.0,475.0
124,Waterfront Communities-The Island,77.0,11035.0,2275.0,845.0,245.0,48470.0,2640.0,10340.0,13520.0,14995.0,3850.0,9365.0,71375.0,1900.0,8340.0,625.0
125,West Hill,136.0,3070.0,1865.0,1525.0,820.0,11585.0,1515.0,4195.0,3145.0,2340.0,300.0,5890.0,7660.0,4990.0,6425.0,765.0
126,West Humber-Clairville,1.0,3450.0,2300.0,2145.0,950.0,16140.0,1705.0,3250.0,3870.0,3085.0,310.0,6415.0,10825.0,5905.0,8510.0,835.0
127,Westminster-Branson,35.0,3520.0,1980.0,1330.0,470.0,12780.0,1290.0,4245.0,3420.0,2015.0,305.0,5360.0,14805.0,2745.0,5540.0,585.0
128,Weston,113.0,2190.0,1170.0,765.0,420.0,8105.0,965.0,3670.0,2155.0,1360.0,175.0,3855.0,4310.0,3630.0,4180.0,540.0
129,Weston-Pelham Park,91.0,1305.0,800.0,620.0,245.0,5460.0,505.0,1745.0,1230.0,1140.0,80.0,1835.0,2830.0,3095.0,2590.0,285.0
130,Wexford/Maryvale,119.0,3295.0,1950.0,1605.0,715.0,13055.0,1285.0,3820.0,3395.0,2740.0,330.0,5595.0,9410.0,4395.0,7240.0,800.0
131,Willowdale East,51.0,6805.0,3875.0,2525.0,550.0,24770.0,2300.0,7095.0,6610.0,6405.0,1605.0,7000.0,41920.0,3110.0,8580.0,535.0
132,Willowdale West,37.0,2350.0,1090.0,820.0,210.0,7760.0,845.0,2395.0,1915.0,2320.0,640.0,2600.0,12625.0,1405.0,3140.0,205.0
133,Willowridge-Martingrove-Richview,7.0,2850.0,1515.0,1420.0,510.0,9940.0,920.0,2875.0,2740.0,2895.0,655.0,4050.0,9305.0,3440.0,5205.0,615.0
134,Woburn,137.0,5930.0,3675.0,3200.0,1620.0,22505.0,2665.0,7505.0,6305.0,3980.0,430.0,9485.0,19140.0,8850.0,13170.0,1025.0
135,Woodbine Corridor,64.0,1645.0,840.0,780.0,160.0,6715.0,560.0,1770.0,1275.0,2190.0,610.0,2170.0,7255.0,1430.0,2065.0,225.0
136,Woodbine-Lumsden,60.0,1125.0,565.0,410.0,95.0,4380.0,310.0,1055.0,1030.0,1245.0,210.0,1485.0,3815.0,1015.0,1760.0,190.0
137,Wychwood,94.0,1820.0,765.0,680.0,195.0,7470.0,410.0,2025.0,1680.0,1895.0,610.0,2245.0,7860.0,1860.0,2285.0,220.0
138,Yonge-Eglinton,100.0,1555.0,680.0,665.0,170.0,6815.0,505.0,1580.0,1590.0,2340.0,1110.0,1595.0,10250.0,575.0,1430.0,140.0
139,Yonge-St.Clair,97.0,2130.0,535.0,380.0,115.0,7245.0,455.0,1955.0,2030.0,2865.0,1380.0,1870.0,10940.0,460.0,1820.0,165.0
140,York University Heights,27.0,3150.0,1845.0,1395.0,610.0,13235.0,1585.0,4410.0,3530.0,1955.0,195.0,5035.0,9805.0,5125.0,6980.0,830.0
141,Yorkdale-Glen Park,31.0,1835.0,1035.0,740.0,330.0,6670.0,580.0,2020.0,1730.0,1550.0,325.0,2415.0,4220.0,3445.0,3385.0,425.0
